idProduktu,NazwaTypPozycja,WartoscPozycja,Ilosc
37,Kolor:select:1,Błękitny:1,2
37,Kolor:select:2,Burgundowy:2,3
37,Wielkość:select:0,Duży:0,1
37,Wielkość:select:1,Mały:1,2
38,Kolor:select:0,Burgundowy:0,1
38,Kolor:select:1,Błękitny:1,2
38,Wielkość:select:0,Duży:0,1
38,Wielkość:select:1,Bardzo duży:1,2
39,Kolor:select:0,Błękitny:0,1
39,Kolor:select:1,Pomarańczowy:1,2
39,Kolor:select:2,Czerwony:2,3
39,Wielkość:select:0,Bardzo mały:0,1
40,Kolor:select:0,Lazurowy:0,1
40,Wielkość:select:0,Bardzo mały:0,1
40,Wielkość:select:1,Bardzo duży:1,2
41,Kolor:select:0,Błękitny:0,1
41,Wielkość:select:0,Mały:0,1
41,Wielkość:select:1,Bardzo duży:1,2
42,Kolor:select:0,Zielony:0,1
42,Wielkość:select:0,Mały:0,1
43,Kolor:select:0,Lazurowy:0,1
43,Kolor:select:1,Niebieski:1,2
43,Wielkość:select:0,Bardzo duży:0,1
44,Kolor:select:0,Lazurowy:0,1
44,Kolor:select:1,Zielony:1,2
44,Kolor:select:2,Niebieski:2,3
44,Wielkość:select:0,Średni:0,1
44,Wielkość:select:1,Bardzo mały:1,2
45,Kolor:select:0,Zielony:0,1
45,Kolor:select:1,Błękitny:1,2
45,Wielkość:select:0,Bardzo mały:0,1
45,Wielkość:select:1,Mały:1,2
46,Kolor:select:0,Zielony:0,1
46,Wielkość:select:0,Bardzo mały:0,1
47,Kolor:select:0,Czerwony:0,1
47,Wielkość:select:0,Duży:0,1
47,Wielkość:select:1,Bardzo duży:1,2
48,Kolor:select:0,Zielony:0,1
48,Kolor:select:1,Czerwony:1,2
48,Kolor:select:2,Niebieski:2,3
48,Wielkość:select:0,Średni:0,1
49,Kolor:select:0,Burgundowy:0,1
49,Kolor:select:1,Lazurowy:1,2
49,Kolor:select:2,Niebieski:2,3
49,Wielkość:select:0,Średni:0,1
49,Wielkość:select:1,Bardzo mały:1,2
50,Kolor:select:0,Błękitny:0,1
50,Kolor:select:1,Niebieski:1,2
50,Kolor:select:2,Czerwony:2,3
50,Wielkość:select:0,Bardzo mały:0,1
50,Wielkość:select:1,Średni:1,2
51,Kolor:select:0,Pomarańczowy:0,1
51,Kolor:select:1,Czerwony:1,2
51,Kolor:select:2,Niebieski:2,3
51,Wielkość:select:0,Średni:0,1
52,Kolor:select:0,Czerwony:0,1
52,Kolor:select:1,Błękitny:1,2
52,Kolor:select:2,Niebieski:2,3
52,Wielkość:select:0,Bardzo mały:0,1
53,Kolor:select:0,Czerwony:0,1
53,Kolor:select:1,Zielony:1,2
53,Kolor:select:2,Pomarańczowy:2,3
53,Wielkość:select:0,Duży:0,1
53,Wielkość:select:1,Bardzo duży:1,2
54,Kolor:select:0,Burgundowy:0,1
54,Wielkość:select:0,Średni:0,1
54,Wielkość:select:1,Bardzo mały:1,2
55,Kolor:select:0,Czerwony:0,1
55,Kolor:select:1,Burgundowy:1,2
55,Wielkość:select:0,Duży:0,1
56,Kolor:select:0,Niebieski:0,1
56,Wielkość:select:0,Średni:0,1
57,Kolor:select:0,Błękitny:0,1
57,Wielkość:select:0,Duży:0,1
58,Kolor:select:0,Zielony:0,1
58,Kolor:select:1,Pomarańczowy:1,2
58,Kolor:select:2,Lazurowy:2,3
58,Wielkość:select:0,Mały:0,1
59,Kolor:select:0,Zielony:0,1
59,Kolor:select:1,Lazurowy:1,2
59,Kolor:select:2,Niebieski:2,3
59,Wielkość:select:0,Bardzo mały:0,1
59,Wielkość:select:1,Bardzo duży:1,2
60,Kolor:select:0,Burgundowy:0,1
60,Kolor:select:1,Pomarańczowy:1,2
60,Wielkość:select:0,Duży:0,1
60,Wielkość:select:1,Średni:1,2
61,Kolor:select:0,Niebieski:0,1
61,Wielkość:select:0,Bardzo duży:0,1
62,Kolor:select:0,Burgundowy:0,1
62,Kolor:select:1,Czerwony:1,2
62,Wielkość:select:0,Średni:0,1
62,Wielkość:select:1,Mały:1,2
63,Kolor:select:0,Zielony:0,1
63,Kolor:select:1,Pomarańczowy:1,2
63,Wielkość:select:0,Bardzo mały:0,1
64,Kolor:select:0,Zielony:0,1
64,Wielkość:select:0,Średni:0,1
65,Kolor:select:0,Błękitny:0,1
65,Kolor:select:1,Niebieski:1,2
65,Wielkość:select:0,Mały:0,1
65,Wielkość:select:1,Bardzo mały:1,2
66,Kolor:select:0,Błękitny:0,1
66,Kolor:select:1,Niebieski:1,2
66,Wielkość:select:0,Bardzo mały:0,1
66,Wielkość:select:1,Bardzo duży:1,2
67,Kolor:select:0,Zielony:0,1
67,Wielkość:select:0,Bardzo mały:0,1
68,Kolor:select:0,Lazurowy:0,1
68,Kolor:select:1,Burgundowy:1,2
68,Kolor:select:2,Błękitny:2,3
68,Wielkość:select:0,Mały:0,1
68,Wielkość:select:1,Średni:1,2
69,Kolor:select:0,Zielony:0,1
69,Wielkość:select:0,Duży:0,1
70,Kolor:select:0,Pomarańczowy:0,1
70,Kolor:select:1,Czerwony:1,2
70,Wielkość:select:0,Bardzo duży:0,1
71,Kolor:select:0,Burgundowy:0,1
71,Kolor:select:1,Zielony:1,2
71,Wielkość:select:0,Mały:0,1
71,Wielkość:select:1,Bardzo mały:1,2
72,Kolor:select:0,Czerwony:0,1
72,Wielkość:select:0,Mały:0,1
72,Wielkość:select:1,Bardzo mały:1,2
73,Kolor:select:0,Niebieski:0,1
73,Kolor:select:1,Błękitny:1,2
73,Wielkość:select:0,Bardzo mały:0,1
73,Wielkość:select:1,Mały:1,2
74,Kolor:select:0,Niebieski:0,1
74,Kolor:select:1,Pomarańczowy:1,2
74,Kolor:select:2,Czerwony:2,3
74,Wielkość:select:0,Bardzo mały:0,1
75,Kolor:select:0,Błękitny:0,1
75,Kolor:select:1,Pomarańczowy:1,2
75,Wielkość:select:0,Duży:0,1
75,Wielkość:select:1,Mały:1,2
76,Kolor:select:0,Zielony:0,1
76,Wielkość:select:0,Bardzo duży:0,1
77,Kolor:select:0,Niebieski:0,1
77,Wielkość:select:0,Mały:0,1
77,Wielkość:select:1,Średni:1,2
78,Kolor:select:0,Czerwony:0,1
78,Kolor:select:1,Niebieski:1,2
78,Wielkość:select:0,Średni:0,1
78,Wielkość:select:1,Bardzo duży:1,2
79,Kolor:select:0,Niebieski:0,1
79,Kolor:select:1,Zielony:1,2
79,Wielkość:select:0,Bardzo mały:0,1
80,Kolor:select:0,Niebieski:0,1
80,Kolor:select:1,Burgundowy:1,2
80,Kolor:select:2,Czerwony:2,3
80,Wielkość:select:0,Średni:0,1
80,Wielkość:select:1,Mały:1,2
81,Kolor:select:0,Błękitny:0,1
81,Wielkość:select:0,Bardzo duży:0,1
82,Kolor:select:0,Lazurowy:0,1
82,Kolor:select:1,Pomarańczowy:1,2
82,Wielkość:select:0,Średni:0,1
83,Kolor:select:0,Niebieski:0,1
83,Kolor:select:1,Pomarańczowy:1,2
83,Wielkość:select:0,Bardzo duży:0,1
83,Wielkość:select:1,Mały:1,2
84,Kolor:select:0,Burgundowy:0,1
84,Kolor:select:1,Czerwony:1,2
84,Kolor:select:2,Zielony:2,3
84,Wielkość:select:0,Mały:0,1
84,Wielkość:select:1,Bardzo duży:1,2
85,Kolor:select:0,Burgundowy:0,1
85,Kolor:select:1,Czerwony:1,2
85,Kolor:select:2,Niebieski:2,3
85,Wielkość:select:0,Duży:0,1
86,Kolor:select:0,Lazurowy:0,1
86,Wielkość:select:0,Mały:0,1
87,Kolor:select:0,Błękitny:0,1
87,Kolor:select:1,Czerwony:1,2
87,Kolor:select:2,Burgundowy:2,3
87,Wielkość:select:0,Bardzo duży:0,1
87,Wielkość:select:1,Mały:1,2
88,Kolor:select:0,Czerwony:0,1
88,Kolor:select:1,Lazurowy:1,2
88,Kolor:select:2,Niebieski:2,3
88,Wielkość:select:0,Bardzo duży:0,1
88,Wielkość:select:1,Duży:1,2
89,Kolor:select:0,Czerwony:0,1
89,Kolor:select:1,Zielony:1,2
89,Kolor:select:2,Niebieski:2,3
89,Wielkość:select:0,Bardzo mały:0,1
89,Wielkość:select:1,Średni:1,2
90,Kolor:select:0,Czerwony:0,1
90,Kolor:select:1,Lazurowy:1,2
90,Wielkość:select:0,Średni:0,1
90,Wielkość:select:1,Mały:1,2
91,Kolor:select:0,Zielony:0,1
91,Wielkość:select:0,Bardzo mały:0,1
92,Kolor:select:0,Zielony:0,1
92,Kolor:select:1,Czerwony:1,2
92,Kolor:select:2,Pomarańczowy:2,3
92,Wielkość:select:0,Średni:0,1
93,Kolor:select:0,Niebieski:0,1
93,Kolor:select:1,Lazurowy:1,2
93,Wielkość:select:0,Bardzo mały:0,1
94,Kolor:select:0,Pomarańczowy:0,1
94,Kolor:select:1,Lazurowy:1,2
94,Kolor:select:2,Czerwony:2,3
94,Wielkość:select:0,Bardzo mały:0,1
94,Wielkość:select:1,Duży:1,2
95,Kolor:select:0,Czerwony:0,1
95,Kolor:select:1,Niebieski:1,2
95,Wielkość:select:0,Mały:0,1
95,Wielkość:select:1,Duży:1,2
96,Kolor:select:0,Niebieski:0,1
96,Wielkość:select:0,Bardzo mały:0,1
96,Wielkość:select:1,Mały:1,2
97,Kolor:select:0,Pomarańczowy:0,1
97,Wielkość:select:0,Średni:0,1
97,Wielkość:select:1,Mały:1,2
98,Kolor:select:0,Zielony:0,1
98,Wielkość:select:0,Bardzo mały:0,1
99,Kolor:select:0,Błękitny:0,1
99,Wielkość:select:0,Średni:0,1
99,Wielkość:select:1,Duży:1,2
100,Kolor:select:0,Pomarańczowy:0,1
100,Kolor:select:1,Niebieski:1,2
100,Wielkość:select:0,Mały:0,1
101,Kolor:select:0,Niebieski:0,1
101,Kolor:select:1,Lazurowy:1,2
101,Kolor:select:2,Czerwony:2,3
101,Wielkość:select:0,Duży:0,1
101,Wielkość:select:1,Średni:1,2
102,Kolor:select:0,Pomarańczowy:0,1
102,Kolor:select:1,Zielony:1,2
102,Wielkość:select:0,Średni:0,1
102,Wielkość:select:1,Duży:1,2
103,Kolor:select:0,Niebieski:0,1
103,Wielkość:select:0,Bardzo mały:0,1
104,Kolor:select:0,Czerwony:0,1
104,Kolor:select:1,Niebieski:1,2
104,Wielkość:select:0,Bardzo duży:0,1
105,Kolor:select:0,Niebieski:0,1
105,Kolor:select:1,Czerwony:1,2
105,Kolor:select:2,Burgundowy:2,3
105,Wielkość:select:0,Bardzo duży:0,1
106,Kolor:select:0,Lazurowy:0,1
106,Kolor:select:1,Czerwony:1,2
106,Wielkość:select:0,Mały:0,1
107,Kolor:select:0,Burgundowy:0,1
107,Wielkość:select:0,Średni:0,1
107,Wielkość:select:1,Mały:1,2
108,Kolor:select:0,Błękitny:0,1
108,Kolor:select:1,Pomarańczowy:1,2
108,Kolor:select:2,Niebieski:2,3
108,Wielkość:select:0,Mały:0,1
109,Kolor:select:0,Burgundowy:0,1
109,Kolor:select:1,Czerwony:1,2
109,Kolor:select:2,Błękitny:2,3
109,Wielkość:select:0,Średni:0,1
109,Wielkość:select:1,Bardzo duży:1,2
110,Kolor:select:0,Niebieski:0,1
110,Kolor:select:1,Lazurowy:1,2
110,Kolor:select:2,Czerwony:2,3
110,Wielkość:select:0,Bardzo mały:0,1
110,Wielkość:select:1,Duży:1,2
111,Kolor:select:0,Zielony:0,1
111,Kolor:select:1,Błękitny:1,2
111,Kolor:select:2,Czerwony:2,3
111,Wielkość:select:0,Duży:0,1
112,Kolor:select:0,Czerwony:0,1
112,Kolor:select:1,Zielony:1,2
112,Kolor:select:2,Lazurowy:2,3
112,Wielkość:select:0,Bardzo duży:0,1
112,Wielkość:select:1,Bardzo mały:1,2
113,Kolor:select:0,Czerwony:0,1
113,Wielkość:select:0,Mały:0,1
113,Wielkość:select:1,Bardzo duży:1,2
114,Kolor:select:0,Burgundowy:0,1
114,Kolor:select:1,Błękitny:1,2
114,Kolor:select:2,Niebieski:2,3
114,Wielkość:select:0,Mały:0,1
114,Wielkość:select:1,Duży:1,2
115,Kolor:select:0,Burgundowy:0,1
115,Kolor:select:1,Lazurowy:1,2
115,Wielkość:select:0,Duży:0,1
115,Wielkość:select:1,Bardzo duży:1,2
116,Kolor:select:0,Lazurowy:0,1
116,Kolor:select:1,Czerwony:1,2
116,Kolor:select:2,Pomarańczowy:2,3
116,Wielkość:select:0,Średni:0,1
116,Wielkość:select:1,Bardzo duży:1,2
117,Kolor:select:0,Niebieski:0,1
117,Wielkość:select:0,Bardzo mały:0,1
117,Wielkość:select:1,Średni:1,2
118,Kolor:select:0,Niebieski:0,1
118,Kolor:select:1,Zielony:1,2
118,Wielkość:select:0,Duży:0,1
119,Kolor:select:0,Czerwony:0,1
119,Kolor:select:1,Błękitny:1,2
119,Kolor:select:2,Burgundowy:2,3
119,Wielkość:select:0,Średni:0,1
120,Kolor:select:0,Niebieski:0,1
120,Wielkość:select:0,Duży:0,1
121,Kolor:select:0,Niebieski:0,1
121,Kolor:select:1,Pomarańczowy:1,2
121,Kolor:select:2,Błękitny:2,3
121,Wielkość:select:0,Bardzo mały:0,1
122,Kolor:select:0,Burgundowy:0,1
122,Kolor:select:1,Niebieski:1,2
122,Kolor:select:2,Pomarańczowy:2,3
122,Wielkość:select:0,Duży:0,1
122,Wielkość:select:1,Średni:1,2
123,Kolor:select:0,Zielony:0,1
123,Kolor:select:1,Błękitny:1,2
123,Kolor:select:2,Pomarańczowy:2,3
123,Wielkość:select:0,Bardzo duży:0,1
124,Kolor:select:0,Czerwony:0,1
124,Wielkość:select:0,Bardzo duży:0,1
124,Wielkość:select:1,Mały:1,2
125,Kolor:select:0,Zielony:0,1
125,Kolor:select:1,Błękitny:1,2
125,Wielkość:select:0,Średni:0,1
125,Wielkość:select:1,Bardzo duży:1,2
126,Kolor:select:0,Błękitny:0,1
126,Wielkość:select:0,Bardzo mały:0,1
127,Kolor:select:0,Pomarańczowy:0,1
127,Kolor:select:1,Niebieski:1,2
127,Kolor:select:2,Lazurowy:2,3
127,Wielkość:select:0,Średni:0,1
127,Wielkość:select:1,Bardzo duży:1,2
128,Kolor:select:0,Pomarańczowy:0,1
128,Kolor:select:1,Błękitny:1,2
128,Kolor:select:2,Niebieski:2,3
128,Wielkość:select:0,Mały:0,1
129,Kolor:select:0,Niebieski:0,1
129,Wielkość:select:0,Bardzo duży:0,1
129,Wielkość:select:1,Średni:1,2
130,Kolor:select:0,Burgundowy:0,1
130,Kolor:select:1,Czerwony:1,2
130,Kolor:select:2,Lazurowy:2,3
130,Wielkość:select:0,Bardzo duży:0,1
131,Kolor:select:0,Czerwony:0,1
131,Kolor:select:1,Burgundowy:1,2
131,Kolor:select:2,Pomarańczowy:2,3
131,Wielkość:select:0,Duży:0,1
132,Kolor:select:0,Czerwony:0,1
132,Wielkość:select:0,Średni:0,1
133,Kolor:select:0,Pomarańczowy:0,1
133,Kolor:select:1,Czerwony:1,2
133,Wielkość:select:0,Duży:0,1
133,Wielkość:select:1,Mały:1,2
134,Kolor:select:0,Burgundowy:0,1
134,Kolor:select:1,Pomarańczowy:1,2
134,Wielkość:select:0,Duży:0,1
134,Wielkość:select:1,Mały:1,2
135,Kolor:select:0,Czerwony:0,1
135,Kolor:select:1,Błękitny:1,2
135,Wielkość:select:0,Średni:0,1
135,Wielkość:select:1,Duży:1,2
136,Kolor:select:0,Niebieski:0,1
136,Kolor:select:1,Pomarańczowy:1,2
136,Wielkość:select:0,Mały:0,1
136,Wielkość:select:1,Duży:1,2
137,Kolor:select:0,Lazurowy:0,1
137,Kolor:select:1,Burgundowy:1,2
137,Kolor:select:2,Błękitny:2,3
137,Wielkość:select:0,Mały:0,1
138,Kolor:select:0,Lazurowy:0,1
138,Kolor:select:1,Błękitny:1,2
138,Wielkość:select:0,Średni:0,1
138,Wielkość:select:1,Duży:1,2
139,Kolor:select:0,Niebieski:0,1
139,Kolor:select:1,Pomarańczowy:1,2
139,Kolor:select:2,Lazurowy:2,3
139,Wielkość:select:0,Średni:0,1
140,Kolor:select:0,Niebieski:0,1
140,Kolor:select:1,Czerwony:1,2
140,Kolor:select:2,Zielony:2,3
140,Wielkość:select:0,Bardzo duży:0,1
141,Kolor:select:0,Czerwony:0,1
141,Kolor:select:1,Błękitny:1,2
141,Kolor:select:2,Zielony:2,3
141,Wielkość:select:0,Bardzo mały:0,1
142,Kolor:select:0,Zielony:0,1
142,Kolor:select:1,Czerwony:1,2
142,Kolor:select:2,Lazurowy:2,3
142,Wielkość:select:0,Bardzo duży:0,1
143,Kolor:select:0,Burgundowy:0,1
143,Wielkość:select:0,Bardzo mały:0,1
143,Wielkość:select:1,Średni:1,2
144,Kolor:select:0,Czerwony:0,1
144,Kolor:select:1,Lazurowy:1,2
144,Wielkość:select:0,Średni:0,1
145,Kolor:select:0,Niebieski:0,1
145,Kolor:select:1,Lazurowy:1,2
145,Kolor:select:2,Czerwony:2,3
145,Wielkość:select:0,Bardzo duży:0,1
146,Kolor:select:0,Zielony:0,1
146,Wielkość:select:0,Średni:0,1
147,Kolor:select:0,Burgundowy:0,1
147,Kolor:select:1,Błękitny:1,2
147,Wielkość:select:0,Średni:0,1
148,Kolor:select:0,Zielony:0,1
148,Kolor:select:1,Burgundowy:1,2
148,Kolor:select:2,Lazurowy:2,3
148,Wielkość:select:0,Mały:0,1
148,Wielkość:select:1,Bardzo mały:1,2
149,Kolor:select:0,Burgundowy:0,1
149,Kolor:select:1,Niebieski:1,2
149,Kolor:select:2,Lazurowy:2,3
149,Wielkość:select:0,Mały:0,1
150,Kolor:select:0,Błękitny:0,1
150,Wielkość:select:0,Duży:0,1
150,Wielkość:select:1,Średni:1,2
151,Kolor:select:0,Błękitny:0,1
151,Kolor:select:1,Burgundowy:1,2
151,Kolor:select:2,Czerwony:2,3
151,Wielkość:select:0,Bardzo mały:0,1
152,Kolor:select:0,Zielony:0,1
152,Kolor:select:1,Błękitny:1,2
152,Kolor:select:2,Niebieski:2,3
152,Wielkość:select:0,Bardzo mały:0,1
152,Wielkość:select:1,Średni:1,2
153,Kolor:select:0,Błękitny:0,1
153,Kolor:select:1,Burgundowy:1,2
153,Wielkość:select:0,Średni:0,1
154,Kolor:select:0,Niebieski:0,1
154,Kolor:select:1,Pomarańczowy:1,2
154,Wielkość:select:0,Duży:0,1
155,Kolor:select:0,Burgundowy:0,1
155,Wielkość:select:0,Bardzo duży:0,1
155,Wielkość:select:1,Duży:1,2
156,Kolor:select:0,Niebieski:0,1
156,Wielkość:select:0,Bardzo duży:0,1
157,Kolor:select:0,Błękitny:0,1
157,Kolor:select:1,Zielony:1,2
157,Kolor:select:2,Niebieski:2,3
157,Wielkość:select:0,Duży:0,1
157,Wielkość:select:1,Bardzo duży:1,2
158,Kolor:select:0,Niebieski:0,1
158,Wielkość:select:0,Mały:0,1
159,Kolor:select:0,Błękitny:0,1
159,Kolor:select:1,Zielony:1,2
159,Wielkość:select:0,Bardzo mały:0,1
160,Kolor:select:0,Czerwony:0,1
160,Kolor:select:1,Lazurowy:1,2
160,Kolor:select:2,Zielony:2,3
160,Wielkość:select:0,Mały:0,1
160,Wielkość:select:1,Bardzo duży:1,2
161,Kolor:select:0,Zielony:0,1
161,Kolor:select:1,Burgundowy:1,2
161,Kolor:select:2,Czerwony:2,3
161,Wielkość:select:0,Średni:0,1
161,Wielkość:select:1,Mały:1,2
162,Kolor:select:0,Zielony:0,1
162,Kolor:select:1,Niebieski:1,2
162,Wielkość:select:0,Mały:0,1
163,Kolor:select:0,Lazurowy:0,1
163,Kolor:select:1,Pomarańczowy:1,2
163,Wielkość:select:0,Średni:0,1
164,Kolor:select:0,Błękitny:0,1
164,Kolor:select:1,Burgundowy:1,2
164,Wielkość:select:0,Mały:0,1
165,Kolor:select:0,Pomarańczowy:0,1
165,Wielkość:select:0,Duży:0,1
166,Kolor:select:0,Lazurowy:0,1
166,Kolor:select:1,Pomarańczowy:1,2
166,Wielkość:select:0,Bardzo mały:0,1
166,Wielkość:select:1,Mały:1,2
167,Kolor:select:0,Pomarańczowy:0,1
167,Kolor:select:1,Czerwony:1,2
167,Kolor:select:2,Niebieski:2,3
167,Wielkość:select:0,Mały:0,1
168,Kolor:select:0,Pomarańczowy:0,1
168,Wielkość:select:0,Bardzo mały:0,1
169,Kolor:select:0,Błękitny:0,1
169,Wielkość:select:0,Duży:0,1
170,Kolor:select:0,Zielony:0,1
170,Wielkość:select:0,Mały:0,1
171,Kolor:select:0,Pomarańczowy:0,1
171,Kolor:select:1,Zielony:1,2
171,Wielkość:select:0,Duży:0,1
171,Wielkość:select:1,Średni:1,2
172,Kolor:select:0,Pomarańczowy:0,1
172,Kolor:select:1,Niebieski:1,2
172,Kolor:select:2,Czerwony:2,3
172,Wielkość:select:0,Mały:0,1
172,Wielkość:select:1,Bardzo duży:1,2
173,Kolor:select:0,Czerwony:0,1
173,Kolor:select:1,Burgundowy:1,2
173,Kolor:select:2,Błękitny:2,3
173,Wielkość:select:0,Średni:0,1
173,Wielkość:select:1,Duży:1,2
174,Kolor:select:0,Błękitny:0,1
174,Kolor:select:1,Zielony:1,2
174,Kolor:select:2,Pomarańczowy:2,3
174,Wielkość:select:0,Bardzo duży:0,1
174,Wielkość:select:1,Mały:1,2
175,Kolor:select:0,Zielony:0,1
175,Wielkość:select:0,Bardzo duży:0,1
175,Wielkość:select:1,Bardzo mały:1,2
176,Kolor:select:0,Zielony:0,1
176,Wielkość:select:0,Średni:0,1
177,Kolor:select:0,Burgundowy:0,1
177,Kolor:select:1,Czerwony:1,2
177,Kolor:select:2,Niebieski:2,3
177,Wielkość:select:0,Duży:0,1
178,Kolor:select:0,Niebieski:0,1
178,Wielkość:select:0,Mały:0,1
178,Wielkość:select:1,Bardzo mały:1,2
179,Kolor:select:0,Pomarańczowy:0,1
179,Kolor:select:1,Niebieski:1,2
179,Kolor:select:2,Burgundowy:2,3
179,Wielkość:select:0,Bardzo mały:0,1
179,Wielkość:select:1,Bardzo duży:1,2
180,Kolor:select:0,Czerwony:0,1
180,Wielkość:select:0,Mały:0,1
180,Wielkość:select:1,Średni:1,2
